project,timestamp,raw_bugs,raw_vulnerabilities,raw_code_smells,raw_coverage,norm_bugs,norm_vulnerabilities,norm_code_smells,norm_coverage,weight_bugs,weight_vulnerabilities,weight_code_smells,weight_coverage,kpi_score,stored_at
PreseHome,2026-03-25T18:36:39.349693+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-03-28T13:04:04.767152+00:00
PreseHome,2026-03-25T18:36:39.349693+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-03-28T13:05:02.830188+00:00
PreseHome,2026-09-10T09:11:54.952016+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-09-10T09:12:12.380541+00:00
PreseHome,2026-09-10T09:17:22.826745+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-09-10T09:17:53.860474+00:00
PreseHome,2026-09-10T09:17:22.826745+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-09-10T22:48:10.462457+00:00
PreseHome,2026-09-10T09:17:22.826745+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-09-10T22:57:06.274181+00:00
PreseHome,2026-09-10T09:17:22.826745+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-09-10T22:57:15.532965+00:00
PreseHome,2026-09-10T09:17:22.826745+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-09-10T23:08:14.496621+00:00
PreseHome,2026-09-10T23:26:02.967644+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-09-10T23:34:12.472835+00:00
PreseHome,2026-09-10T23:26:02.967644+00:00,28,4,421,0.0,7.199999999999999,9.200000000000001,1.5800000000000003,0.0,0.3,0.3,0.2,0.2,5.236,2026-09-11T16:43:36.458187+00:00
